USERID,GENDER,RACE,AGE,PROVINCE,CHANNEL2,DURATION2,VIEW_DATE,VIEW_TIME,MONTH_NAME,DAY_OF_MONTH,DAY_NAME,DAY_TYPE,TIME_BUCKET,DURATION_BUCKET,AGE_BUCKET
791320,female,indian_asian,37,Kwazulu Natal,ICC Cricket World Cup 2011,00:13:04.000,2016-03-06,11:33:00.000,Mar,6,Sun,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
791320,female,indian_asian,37,Kwazulu Natal,ICC Cricket World Cup 2011,00:13:54.000,2016-03-06,10:32:00.000,Mar,6,Sun,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
771802,male,coloured,43,Western Cape,Boomerang,00:09:55.000,2016-01-02,14:42:00.000,Jan,2,Sat,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
771802,male,coloured,43,Western Cape,Supersport Live Events,01:23:54.000,2016-01-30,16:11:00.000,Jan,30,Sat,Weekend,Early Evening (16:00 – 19:59),One-Hour Programs (01:00:00 – 01:59:59),Mid Adults (35–44)
771802,male,coloured,43,Western Cape,CNN,00:00:21.000,2016-01-01,13:25:00.000,Jan,1,Fri,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
771802,male,coloured,43,Western Cape,Supersport Live Events,00:06:06.000,2016-01-08,16:50:00.000,Jan,8,Fri,Weekday,Early Evening (16:00 – 19:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
771802,male,coloured,43,Western Cape,CNN,00:01:06.000,2016-01-01,04:37:00.000,Jan,1,Fri,Weekday,Overnight (01:00 – 05:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
771802,male,coloured,43,Western Cape,Supersport Live Events,01:19:52.000,2016-02-12,18:51:00.000,Feb,12,Fri,Weekday,Early Evening (16:00 – 19:59),One-Hour Programs (01:00:00 – 01:59:59),Mid Adults (35–44)
808941,male,coloured,36,Western Cape,SuperSport Blitz,00:00:32.000,2016-03-01,02:30:00.000,Mar,1,Tue,Weekday,Overnight (01:00 – 05:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
600713,male,black,31,Kwazulu Natal,Channel O,00:47:18.000,2016-01-01,16:32:00.000,Jan,1,Fri,Weekday,Early Evening (16:00 – 19:59),Standard Half-Hour Programs (00:30:00 – 00:59:59),Adults (25–34)
600713,male,black,31,Kwazulu Natal,Channel O,00:00:27.000,2016-01-13,16:27:00.000,Jan,13,Wed,Weekday,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
2407123,male,black,24,Mpumalanga,Boomerang,00:00:44.000,2016-03-14,09:40:00.000,Mar,14,Mon,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Young Adults (18–24)
2407123,male,black,24,Mpumalanga,Cartoon Network,00:08:40.000,2016-03-08,23:04:00.000,Mar,8,Tue,Weekday,Late Night (23:00 – 00:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
2407123,male,black,24,Mpumalanga,ICC Cricket World Cup 2011,00:00:06.000,2016-03-06,11:48:00.000,Mar,6,Sun,Weekend,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Young Adults (18–24)
939600,male,black,31,Gauteng,Africa Magic,00:00:14.000,2016-03-19,04:07:00.000,Mar,19,Sat,Weekend,Overnight (01:00 – 05:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
939600,male,black,31,Gauteng,ICC Cricket World Cup 2011,00:00:42.000,2016-03-20,16:34:00.000,Mar,20,Sun,Weekend,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
939600,male,black,31,Gauteng,Supersport Live Events,00:01:14.000,2016-03-20,17:36:00.000,Mar,20,Sun,Weekend,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Adults (25–34)
939602,male,coloured,18,Eastern Cape,Channel O,00:15:03.000,2016-03-22,18:45:00.000,Mar,22,Tue,Weekday,Early Evening (16:00 – 19:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Young Adults (18–24)
